GRUPPE1	GRUPPE2	GRUPPE3	HERSTELLER	ARTIKEL_NR	HSTNUMMER	ARTIKEL1	ARTIKEL2	FVERSION	FSYSTEM	FSPRACHE	FFORMAT	FBUS	FGARANTIE	EVP	EK	AKTIONPR	AKTBIS	AKTION	VerfuegbarKZ	Vmenge	VDatum	VEta	Nachfolger	DATENBLATT1	BILD1	ERFDAT	EANCode	UPCCode	Hoehe	Breite	Laenge	Gewicht	Rang	Stck_Kart	Stck_Pal	Storno	ECLass	UNSPC	INTRASTAT	CatalogID	Auslieferungslager
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180009	45010	DYMO Label Cassette 12mm x 7m	Schriftband Kassette Dymo für D1, 12 mm  x  7 m, schwarz auf transparent		MSD	D/E			0	0,00	12,20	0,00			V	54	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180009.pdf	http://www.ingrammicro.de/jpg/0180009.jpg	3.5.07 00:00:00	5411313450102		0,02	0,09	0,07	0,03	124	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180014	40910	DYMO Label Cassette 9mm x 7m	Schriftband Kassette Dymo für D1, 9 mm  x  7 m, schwarz auf transparent		NMS	D/E			0	0,00	11,80	0,00			V	6	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180014.pdf	http://www.ingrammicro.de/jpg/0180014.jpg	3.5.07 00:00:00	5411313409100		0,02	0,09	0,07	0,03	999	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180017	45013	DYMO Label Cassette 12mm x 7m	Schriftband Kassette Dymo für D1, 12 mm  x  7 m, schwarz auf weiß		MSD	D			0	0,00	12,20	0,00			V	108	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180017.pdf	http://www.ingrammicro.de/jpg/0180017.jpg	3.5.07 00:00:00	5411313450133		0,02	0,09	0,07	0,03	24	200	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180018	45018	DYMO Label Cassette 12mm x 7m	Schriftband Kassette Dymo für D1, 12 mm  x  7 m, schwarz auf gelb		NMS	D			0	0,00	12,20	0,00			V	6	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180018.pdf	http://www.ingrammicro.de/jpg/0180018.jpg	3.5.07 00:00:00	5411313450188		0,02	0,09	0,07	0,03	159	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180534	99010	DYMO LW Labels Address/Shipp.	LabelWriter Dymo Adress Etiketten, 28 mm x  89 mm, weiß, permanent klebend, 2 x 130 Etiketten, für LW 310, 320, 330		PC	D/E			0	0,00	10,80	0,00			V	85	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180534.pdf	http://www.ingrammicro.de/jpg/0180534.jpg	3.5.07 00:00:00	5411313990103		0,06	0,07	0,06	0,13	14	60	60	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180535	99011	DYMO LW yellow pink blue	LabelWriter Dymo farbiges Etiketten Sortiment, 28 mm x  89 mm, gelb, pink, blau, grün, permanent klebend, je 130 Etiketten für LW 310, 320, 330		MSD	D				0,00	33,70	0,00			V	2	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180535.pdf	http://www.ingrammicro.de/jpg/0180535.jpg	3.5.07 00:00:00	5411313990110		0,06	0,12	0,07	0,28	999	0	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180536	99012	DYMO LW Labels Address/Shipp.	LabelWriter Dymo Adress Etiketten, 36 mm x  89 mm, weiß, permanent klebend, 2 x 260 Etiketten, für LW 310, 320, 330		PC	D			0	0,00	20,10	0,00			V	173	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180536.pdf	http://www.ingrammicro.de/jpg/0180536.jpg	3.5.07 00:00:00	5411313990127		0,08	0,1	0,08	0,31	3	60	60	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180537	99013	DYMO LW large adress labels	LabelWriter Dymo Address Etiketten groß, 36 mm x  98 mm, transparent, permanent klebend, 260 Etiketten, für LW 310, 320, 330		MSD	D				0,00	22,90	0,00			V	14	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180537.pdf	http://www.ingrammicro.de/jpg/0180537.jpg	3.5.07 00:00:00	5411313990134		0,08	0,1	0,1	0,19	68	6	0	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180538	99014	DYMO LW Labels Address/Shipp.	LabelWriter Dymo Versand Etiketten, 54 mm x  101 mm, weiß, permanent klebend, 220 Etiketten, für LW 320, 330		PC	D/E			0	0,00	19,70	0,00			V	110	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180538.pdf	http://www.ingrammicro.de/jpg/0180538.jpg	3.5.07 00:00:00	5411313990141		0,07	0,08	0,08	0,23	11	60	60	Y	24321103	55121612	39199000	10090101	DE
Verbrauchsmaterial	Etiketten	Labeldrucker	Dymo	0180540	99017	DYMO LW Labels für Suspension	LabelWriter Dymo  Etiketten für Hängeablagen, 12 mm x 50 mm, weiß, permanent klebend, 220 Etiketten, für LW 310, 320, 330		MSD	D			0	0,00	10,00	0,00			V	4	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/0180540.pdf	http://www.ingrammicro.de/jpg/0180540.jpg	3.5.07 00:00:00	5411313990172		0,06	0,07	0,06	0,06	123	60	67	Y	24321103	55121612	39199000	10090101	DE
