ArtikelNr;HerstellerNr;Bezeichnung;Einkaufspreis;Lagerbestand;Lieferdatum;LieferdatumText;Gewicht;EAN;Verkaufspreis;Marke;Kategorie1;Kategorie2;Details;
 ; ; ; ; ; ; ; ; ; ; ; ; ; ;
10 50 0086;DR800-TV;"WLAN, Internet TV / Radio, 4.3"" TFT, Remote Control, Clock";110;10;01.08.2012;ab Lager;0.7;4032661274809;179;Albrecht;Internetradio;Internet TV; ;
80 10 0013;DV300GP;GPS Recording, Speed Indicator, CD Card up to 32GB;80;10;01.08.2012;ab Lager;0.1;4032661213006;179;Albrecht;Mini Kamera; ; ;
90 60 0001;TV-200;"DVB-T, 150g, UHF, 3"" LTPS TFT, 960x240, 350 nits, Contrast 300:1";50;6;01.08.2012;ab Lager;1;4032661275202;249;Albrecht;Fernseher;DVB-T;"3.5""";
95 99 0021;LCB-010;Water Proof Bag for digi Cam;10;10;01.08.2012;ab Lager;0.1;4711225683119;49;Lavod;Bag;Waterproof; ;
70 10 0210;LFB-615C silver;4GB, Led Flash, FM Radio, Loudspeaker;25;10;01.08.2012;ab Lager;0.3;4711225685335;119;Lavod;Lautsprecher;Waterproof; ;
95 99 0019;LMB-007;Waterproof Bag, necklace Type;5;5;01.08.2012;ab Lager;0.1;4711225683027;29;Lavod;Bag;Waterproof; ;
95 99 0020;LMB-008;Water Proof Music Bag, Armband, necklace;10;10;01.08.2012;ab Lager;0.1;4711225683034;49;Lavod;Bag;Waterproof; ;
10 50 0102;PiXiS black;"DAB/DAB+, FM with RDS, 3.5"" color Touch Panel, DAB Slideshow, 3 Watt Class-D amplifier, Alarm clock with Sleep and Snooze";120;10;01.08.2012;ab Lager;0.4;5060136411274;169;Revo;Digitalradio;DAB+ Radio; ;
10 50 0103;PiXiS silver;"DAB/DAB+, FM with RDS, 3.5"" color Touch Panel, DAB Slideshow, 3 Watt Class-D amplifier, Alarm clock with Sleep and Snooze";120;10;01.08.2012;ab Lager;0.4;5060136411281;169;Revo;Digitalradio;DAB+ Radio; ;
10 50 0107;PiXiS white;"DAB/DAB+, FM with RDS, 3.5"" color Touch Panel, DAB Slideshow, 3 Watt Class-D amplifier, Alarm clock with Sleep and Snooze";120;10;01.08.2012;ab Lager;0.4;5060136411335;169;Revo;Digitalradio;DAB+ Radio; ;
10 50 0078;Axis;DAB/DAB+/IP/Last FM, Touch Panel, Mono, LAN, Wifi;215;5;01.08.2012;ab Lager;0.5;5060136411090;329;Revo;Digitalradio;Hybrid Radio; ;
10 50 0082;Axis white Edition;DAB/DAB+/IP/Last FM, Touch Panel, Mono, LAN, Wifi;215;10;01.08.2012;ab Lager;0.5;5060136411151;329;Revo;Digitalradio;Hybrid Radio; ;
95 90 0021;Revo RC for Axis;Remote control for Axis;9.9;10;01.01.2010;ab Lager;0.1;7640123931435;29.9;Revo;Remote control; ; ;
10 50 0094;Heritage G2 walnut;DAB/DAB+/IP Radio, FM, iPod, iPhone, Aluminium, Oled;265.30;10;01.08.2012;ab Lager;2;5060136411205;479;Revo;Digitalradio;Hybrid Radio; ;
10 50 0079;Heritage H3 black;DAB/DAB+/IP Radio, FM, iPod, iPhone, Aluminium, Oled;244.30;5;01.08.2012;ab Lager;2;5060136411076;399;Revo;Digitalradio;Hybrid Radio; ;
10 50 0063;Mondo DAB+ silver;DAB+ Adaptor for HiFi System;90.30;0;01.08.2012;KW52;1;5060136410710;169;Revo;Digitalradio;DAB+; ;
10 50 0037;Mondo WiFi black;Wi-Fi Adaptor for HiFi System;125.3;10;01.08.2012;ab Lager;1;5060136410024;229;Revo;Digitalradio;Internet Radio; ;
10 50 0088;Pico RS black;DAB+, WiFi, LAN, Li-Ion;188.3;10;01.08.2012;ab Lager;2;5060136411182;379;Revo;Digitalradio;Hybrid Radio; ;
10 50 0091;K2;DAB Internet LAN;300.3;10;01.08.2012;ab Lager;2;5060136411229;429;Revo;Digitalradio;Hybrid Radio; ;
10 50 0097;R5 HGw;Retro Radio, 7W, Akku, FM/AM;90.3;10;01.03.2012;ab Lager;1.75;5420020102280;119;Artsound;AM/FM Radio;white high gloss finishing; ;
10 50 0098;R5 s.gl;Retro Radio, 7W, Akku, FM/AM;90.3;10;01.03.2012;ab Lager;1.75;5420020102303;119;Artsound;AM/FM Radio;green leather finishig; ;
10 50 0099;R11 w;Wooden Cabinet Radio;111.3;3;01.03.2012;ab Lager;2.35;5420020102204;149;Artsound;AM/FM Radio;white high gloss finishing; ;
90 60 0007;Goal;"Handeld TV, 3.5"", DVB-T, EPG, Record";59;10;01.08.2012;ab Lager;1;7640123931398;139;Sayva;Fernseher;DVB-T;"3.5""";
90 60 0008;Papillon;"Handeld TV, 4.3"", DVB-T, Record, Video, Audio, Touch";84;10;01.08.2012;ab Lager;1;7640123931401;199;Sayva;Fernseher;DVB-T;"4.3""";
10 50 0075;Piccolo white;DAB+,FM, battery;30;10;01.08.2012;ab Lager;0.5;7640123931374;59;Sayva;Digitalradio;DAB+; ;
40 10 0050;360 Bluetooth black;Portable Bluetooth Capsule Speaker;22;10;01.08.2012;ab Lager;0.1;1094922076471;45;Veho;Lautsprecher;Wireless; ;
40 10 0041;Mimi Wifi white;2.4GHz Wifi Speaker with Dongle;30;10;01.08.2012;ab Lager;0.7;1094922320369;49;Veho;Lautsprecher;Wireless; ;
40 10 0032;Xmin Max II Stereo red XAM7;X-mini Capsule Speaker, 178g, 5W;30;10;29.11.2011;ab Lager;0.3;8885005250146;69;XMI;Lautsprecher;Capsule; ;
40 10 0034;Xmini Happy black XAM5;X-mini Capsule Speaker, 88g, MP3;45;10;10.07.2010;ab Lager;0.4;8885005250115;95;XMI;Lautsprecher;Capsule;2GB;
40 10 0030;Xmini II Mono black XAM4;X-mini Capsule Speaker, 83g, 11 Hrs;24;10;10.07.2010;ab Lager;0.3;8885005250085;35;XMI;Lautsprecher;Capsule; ;
40 10 0035;Xmini II Mono red XAM4;X-mini Capsule Speaker, 83g, 11 Hrs;24;10;10.07.2010;ab Lager;0.3;8885005250092;35;XMI;Lautsprecher;Capsule; ;
40 10 0036;Xmini II Mono white XAM4;X-mini Capsule Speaker, 83g, 11 Hrs;24;10;10.07.2010;ab Lager;0.3;8885005250108;35;XMI;Lautsprecher;Capsule; ;
40 10 0052;Xmini II Mono pink XAM4;X-mini Capsule Speaker, 83g, 11 Hrs;24;10;28.01.2011;ab Lager;0.1;8885005250290;35;XMI;Lautsprecher;Capsule; ;
40 10 0051;Xmini II Mono silver XAM4;X-mini Capsule Speaker, 83g, 11 Hrs;24;10;28.01.2011;ab Lager;0.1;8885005250283;35;XMI;Lautsprecher;Capsule; ;
40 10 0059;Xmini II Mono green XAM4;X-mini Capsule Speaker, 83g, 11 Hrs;24;10;25.04.2011;ab Lager;0.1;8885005250313;35;XMI;Lautsprecher;Capsule; ;
40 10 0060;Xmini II Mono purple XAM4;X-mini Capsule Speaker, 83g, 11 Hrs;24;10;25.04.2011;ab Lager;0.1;8885005250320;35;XMI;Lautsprecher;Capsule; ;
40 10 0061;Xmini II Mono blue XAM4;X-mini Capsule Speaker, 83g, 11 Hrs;24;10;25.04.2011;ab Lager;0.1;8885005250337;35;XMI;Lautsprecher;Capsule; ;
40 10 0062;Xmini II Mono orange XAM7;X-mini Capsule Speaker, 83g, 11 Hrs;24;10;25.04.2011;ab Lager;0.1;8885005250344;35;XMI;Lautsprecher;Capsule; ;
40 10 0031;Xmini Max II Stereo black XAM7;X-mini Capsule Speaker, 178g, 5W;30;10;20.12.2011;ab Lager;0.3;8885005250139;69;XMI;Lautsprecher;Capsule; ;
40 10 0033;Xmini Max II Stereo white XAM7;X-mini Capsule Speaker, 178g, 5W;30;10;10.07.2010;ab Lager;0.3;8885005250153;69;XMI;Lautsprecher;Capsule; ;
40 10 0053;Xmini Max V1.1 Stereo black XAM9;X-mini Capsule Speaker, 100g, 3.5W, 10hrs.;24;10;28.01.2011;ab Lager;0.1;8885005250245;44;XMI;Lautsprecher;Capsule; ;
40 10 0054;Xmini Max V1.1 Stereo red XAM9;X-mini Capsule Speaker, 100g, 3.5W, 10hrs.;24;10;28.01.2011;ab Lager;0.1;8885005250252;44;XMI;Lautsprecher;Capsule; ;
40 10 0069;Xmini Kai;X-mini Capsule Speaker, 95g, 2.5W, bluetooth;69.30;10;05.12.2011;ab Lager;0.3;8885005250467;99;XMI;Lautsprecher;Capsule; ;
40 10 0049;Adosa;Stereo Speaker 2x2.5W, USB Power;14;10;01.03.2011;ab Lager;0.1;7640123931428;29;Sayva;Lautsprecher;PC Loudspeaker; ;
30 10 0001;SA850 black;40mm titanium-coated Mylar Drivers, 1.2m Cable, 105g, 16-22000Hz;30;5;10.07.2011;ab Lager;0.1;5060212270153;59;RHA;Kopfhörer; ; ;
30 10 0002;SA500 black;40mm Mylar Drivers, 1.2m Cable, 105g, 20-20000Hz;20;5;10.07.2011;ab Lager;0.1;5060212270177;39;RHA;Kopfhörer; ; ;
30 10 0006;SA500 white;40mm Mylar Drivers, 1.2m Cable, 105g, 20-20000Hz;20;5;10.07.2011;ab Lager;0.1;5060212270184;39;RHA;Kopfhörer; ; ;
30 10 0004;SA700 Couture Vintage;40mm Mylar Drivers, 1.2m Cable, 105g, 20-20000Hz;30;5;10.07.2011;ab Lager;0.1;5060212270160;59;RHA;Kopfhörer; ; ;
30 10 0005;MA350;Noise isolating alu, 16-22000Hz, 103dB, 16 Ohms;26.95;10;10.07.2011;ab Lager;0.1;5060212270191;39;RHA;In Ear Kopfhörer; ; ;
30 10 0009;MA450i;Noise isolating alu, with remote and microphone (3 boutons), 16-22000Hz, 103dB, 16 Ohms;37.95;10;27.06.2012;ab Lager;0.1;5060212270269;59;RHA;In Ear Kopfhörer; ; ;
30 10 0010;MA450i;Noise isolating alu, with remote and microphone (3 boutons), 16-22000Hz, 103dB, 16 Ohms;37.95;10;27.06.2012;ab Lager;0.1;5060212270382;59;RHA;In Ear Kopfhörer; ; ;
40 00 0002;Integrated Ampifier;Metal Housing, 2 RCA in, 3.5mm in Front, 20W, 20 - 20KHz, 140x48x160mm;107.4;0;24.06.2011;EOL;1.2;4713968502214;179;Brik;Mini HiFi System;Verstärker; ;
40 00 0003;D/A Converter;3 Digital Input, USB - Opt - Coax, Best performance for CD/MP3;107.4;10;24.06.2011;ab Lager;1;4713968502313;179;Brik;Mini HiFi System;D/A Converter; ;
40 00 0004;Bluetooth Stage;Enjoy Wireless Music, Easy to use, up to 50m;119.4;10;24.06.2011;ab Lager;1;4713968502412;199;Brik;Mini HiFi System;Bluetooth; ;
40 00 0005;Internet Radio;Wireless/Ethernet, Internet and FM, Remote;143.4;10;24.06.2011;ab Lager;1;4713968502610;239;Brik;Mini HiFi System;Internet Radio; ;
40 00 0006;Phono Stage;MM/MC Selection, Deliver the real sound of Vinyl;83.4;10;24.06.2011;ab Lager;1;4713968502511;139;Brik;Mini HiFi System;Phono; ;
40 00 0007;Power Master;Provide stable power, Clean Look, Space saving, on/off one step;119.4;10;24.06.2011;ab Lager;2;4713968502122;199;Brik;Mini HiFi System;Power supply; ;
40 00 0008;EQ;Reinforce sound with 10 selection on front panel;118;10;01.03.2012;ab Lager;1;4713968502818;179;Brik;Mini HiFi System;EQ; ;
40 00 0009;Input Selector;up to 6 different input;65;10;01.03.2012;ab Lager;1;4713968503013;89;Brik;Mini HiFi System;Input Selector; ;
40 10 0066;Xmini Rave XAM10 black;X-mini Capsule Speaker, 98g FM-Radio Receiver;41.3;10;20.07.2011;ab Lager;0.1;8885005250436;59;XMI;Lautsprecher;Capsule; ;
40 30 0001;Wowee One black;Gel Audio Speaker, 2W, 200g, up to 20hrs;35;10;10.08.2011;ab Lager;0.2;5060212780072;69;Wowee;Lautsprecher;Gel Audio; ;
40 30 0002;Wowee One white;Gel Audio Speaker, 2W, 200g, up to 20hrs;35;10;10.08.2011;ab Lager;0.2;5060212780065;69;Wowee;Lautsprecher;Gel Audio; ;
40 30 0004;Wowee One Slim black;Gel Audio Speaker, 2W, 120g, up to 10hrs;42;10;10.08.2011;ab Lager;0.12;5060212780195;99;Wowee;Lautsprecher;Gel Audio; ;
40 30 0005;Wowee One Slim white;Gel Audio Speaker, 2W, 120g, up to 10hrs;42;10;10.08.2011;ab Lager;0.12;5060212780218;99;Wowee;Lautsprecher;Gel Audio; ;
40 10 0063;360GUM;Rechargeable battery, 2x 2 watt. 3.5mm jack;20;10;10.08.2011;ab Lager;0.1;1094922078154;39;Veho;Lautsprecher;Capsule; ;
40 10 0043;USB Fan black;USB Fan Desktop;5;10;10.08.2011;ab Lager;0.2;0094922287014;19.9;Veho;Ventilator; ; ;
95 99 0035;Power Adaptor Brik;Brik Power Adaptor for Brik Amplifier 19V/3.42A;23;10;02.11.2011;ab Lager;0.2;7640123931565;39;Brik;AC/DC for Amplifier; ; ;
40 10 0098;AC/DC 12V Brik;Adaptor for Brik Components;17.4;10;02.11.2011;ab Lager;0.2;7640123931572;29;Brik;12V Adaptor; ; ;
40 10 0070;DEW black mini Hifi;2.1 Channels, Tot 44W, THD 1%;180;10;15.12.2011;ab Lager;1.5;4712834780107;299;Auluxe;2.1 for PC; ; ;
40 10 0071;DEW white mini Hifi;2.1 Channels, Tot 44W, THD 1%;180;10;15.12.2011;ab Lager;1.5;4712834780152;299;Auluxe;2.1 for PC; ; ;
40 10 0072;Ease Wood;2.1 Channels, Tot 34W, THD 1%;150;10;15.12.2011;ab Lager;1.5;4712834780251;249;Auluxe;2.1 for PC; ; ;
20 00 0001;"Henge Docks 11""MB Air 2011+";Docking for MB Air;57;10;04.10.2012;ab Lager;1;670541190630;89;Henge Docks;Docking; ; ;
20 00 0002;"Henge Docks 13""MB Air 2011+";Docking for MB Air;62;10;04.10.2012;ab Lager;1;670541190647;99;Henge Docks;Docking; ; ;
20 00 0003;Clique;Docking for KB and Mouse;25;10;04.10.2012;ab Lager;1;654367654439;50;Henge Docks;Docking; ; ;
20 00 0004;"Henge Docks 13"" MB Pro Mid 2009+";Docking for MB Pro;62;2;04.10.2012;ab Lager;1;654367654286;99;Henge Docks;Docking; ; ;
20 00 0005;"Henge Docks 15"" MB Pro Mid 2009+";Docking for MB Pro;68;2;04.10.2012;ab Lager;1;654367654309;99;Henge Docks;Docking; ; ;
20 00 0009;Flexson Sonos Play3 Bracket;Bracket for Sonos Play3;32.5;10;15.10.2012;ab Lager;1;713757716321;50;Flexson;Bracket; ; ;
20 00 0010;Flexson Sonos Play5 black;Bracket for Sonos Play5 black;51.35;10;15.10.2012;ab Lager;1;713757716529;80;Flexson;Bracket; ; ;
20 00 0011;Flexson Sonos Play5 white;Bracket for Sonos Play5 white;51.35;10;15.10.2012;ab Lager;1;713757716420;80;Flexson;Bracket; ; ;
20 00 0006;Flexson Bridge Wall;Bracket for Sonos Bridge;22.75;10;15.10.2012;ab Lager;1;713757716628;35;Flexson;Bracket; ; ;
20 00 0007;Flexson Connect  Wall;Bracket for Sonos Connect;27.3;10;15.10.2012;ab Lager;1;713757716727;50;Flexson;Bracket; ; ;
20 00 0008;Flexson Connect Amp;Bracket for AMP;32.5;10;15.10.2012;ab Lager;1;713757716826;50;Flexson;Bracket; ; ;
40 00 0010;Integrated Amplifier Plus;Metal Housing, 2 RCA in, 3.5mm in Front, 20W, 20 - 20KHz, 140x48x160mm;115;10;10.12.2012;KW52;1;4713968502214;179;Brik;Mini HiFi System;Verstärker; ;
