ArtikelNr;HerstellerNr;Bezeichnung;Einkaufspreis;Lagerbestand;Lieferdatum;LieferdatumText;Gewicht;EAN;Verkaufspreis;Marke;Kategorie1;Kategorie2;Details
;;;;;;;;;;;;;
10 50 0086;DR800-TV;"WLAN, Internet TV / Radio, 4.3"" TFT, Remote Control, Clock";0;10;40962;ab Lager;0.7;4.03E+12;179;Albrecht;Internetradio;Internet TV;
80 10 0012;DV100WP;Waterproof (30m), 4GB, 22g, up to 2hrs.;0;10;40962;ab Lager;0.1;4.03E+12;99;Albrecht;Mini Kamera;;
80 10 0013;DV300GP;GPS Recording, Speed Indicator, CD Card up to 32GB;0;10;40962;ab Lager;0.1;4.03E+12;179;Albrecht;Mini Kamera;;
10 50 0080;DR314 IR 4 Lines;DAB+, DAB, FM, LCD, Wecker, Sleep;0;10;40962;ab Lager;2;4.03E+12;229;Albrecht;Digitalradio;Hybrid Radio;
10 50 0081;DR315 IR 4 Lines;Wi-Fi, DAB, FM, LCD, Wecker, Sleep;0;0;40962;E.O.L.;2;4.03E+12;299;Albrecht;Digitalradio;DAB+;
10 50 0062;DR410 black;Portable Wi-Fi / FM Radio, Battery;0;10;40962;ab Lager;1;4.03E+12;99;Albrecht;Digitalradio;Internet Radio;
90 60 0001;TV-200;"DVB-T, 150g, UHF, 3"" LTPS TFT, 960x240, 350 nits, Contrast 300:1";0;4;40962;ab Lager;1;4.03E+12;249;Albrecht;Fernseher;DVB-T;"3.5"""
95 99 0021;LCB-010;Water Proof Bag for digi Cam;0;10;40962;ab Lager;0.1;4.71E+12;49;Lavod;Bag;Waterproof;
70 10 0208;LFA-299x black;4GB, Music Tube Waterproof MP3, Armband set;0;10;40962;ab Lager;0.1;4.71E+12;99;Lavod;MP3;Waterproof;
70 10 0210;LFB-615C silver;4GB, Led Flash, FM Radio, Loudspeaker;0;10;40962;ab Lager;0.3;4.71E+12;119;Lavod;Lautsprecher;Waterproof;
95 99 0019;LMB-007;Waterproof Bag, necklace Type;0;10;40962;ab Lager;0.1;4.71E+12;29;Lavod;Bag;Waterproof;
