GRUPPE1|GRUPPE2|HERSTELLER|ARTIKEL_NR|KITSKUS|HSTNUMMER|ARTIKEL1|ARTIKEL2|FVERSION|FSYSTEM|FSPRACHE|FFORMAT|FBUS|FGARANTIE|EVP|EK|AKTIONPR|AKTBIS|AKTION|VERFUEGBARKZ|VMENGE|VRESERVE|HRESERVE|VDATUM|VETA|NACHFOLGER|DATENBLATT1|BILD1|ERFDAT|EANCODE|UPCCODE|HOEHE|BREITE|LAENGE|GEWICHT|RANG|STCK_KART|STCK_PAL|STORNO|ECLASS50|ECLASS70|UNSPC|INTRASTAT|CATALOGID|MWST|ARTIKELTYP|REVERSECHARGE|ICECATID|ICECATTYPE|ICECATUPDATE|CUSTPARTNBR|AUSLIEFERUNGSLAGER
Zubehör|Notebooks|LENOVO|0585EJ5||73P2582|KENSINGTON MICROSAVER 64068E|SECURITY CABLE LOCK FROM LENOVO|||||||48.00|44.00|0.00||||20|0|0|03.01.2019 01:41:17|| |||05.08.2008 00:00:00|5050689074897||0.05|0.14|0.20|0.34||9998|0|Y||24210701|||10101431|0.077|LOCK||73220|O|19.12.2018 02:18:56||CH
Zubehör|Notebooks|LENOVO|0585HM2||31P7410|IBM OPT3 WHMOUSE 800DPI|PS/2 & USB|||||||23.00|23.00|0.00||||14|0|0|03.01.2019 01:41:17|| |||05.08.2008 00:00:00|4968665510325||0.05|0.15|0.15|0.20||9998|0|Y||19139090|||10101429|0.077|PERP||280429|O|02.01.2019 02:51:13||CH
Zubehör|Personal Computer|LENOVO|0586KU3||73P2659|LENOVO ENHANCED PERFORMANCE|USB KEYBOARD - ITALIAN           IT|||||||0.00|47.00|0.00||||0|0|0|03.01.2019 01:41:17|| |||22.06.2011 00:00:00|0645743785069||0.00|0.00|0.00|0.99||0|0|Y||19139090|||10101521|0.077|PERP||322221|O|19.12.2018 02:28:10||CH
Zubehör|Personal Computer|LENOVO|058YB53||73P2632|BUSINESS BLACK KEYBOARD USB|ENHANCED PERFORMANCE             GR|||||||39.00|37.00|0.00||||0|0|0|03.01.2019 01:41:17|| |||28.01.2011 00:00:00|5050689196520||0.06|0.23|0.52|1.48||9998|0|Y||19139090|||10101521|0.077|PERP||322219|O|12.11.2018 02:15:01||CH
Netzwerk & Kommunikation|Access Point|NETGEAR|0712363||WC7510L-10000S|10-AP GRADUAL LIC UPGRADE|F/ WC7520                        IN|||||||1222.77|1220.39|0.00||||0|0|0|03.01.2019 01:41:17|| |||22.02.2012 00:00:00|0606449075250||0.00|0.00|0.00|0.99||0|0|Y||19249090|||10160102|0.077|LICS||5764115|O|20.12.2018 02:35:01||DE
Netzwerk & Kommunikation|Garantien und Service|NETGEAR|0712758||PMB0334-10000S|PROSUPPORT MAINTENANCE CONTRACT|                                 IN|||||||1673.00|1672.54|0.00||||0|0|0|03.01.2019 01:41:17|| |||27.02.2012 00:00:00| ||0.00|0.00|0.00|0.99||0|0|Y||24389200|||10162503|0.077|SVCS||9599347|O|28.12.2018 02:45:38||CH
Netzwerk & Kommunikation|Switch|NETGEAR|0712780||GS752TXS-100EUS|48-PORT GIGABIT SMART STACKABLE|GIGABIT SWITCH                   IN|||||||2431.62|2430.98|0.00||||0|0|0|03.01.2019 01:41:17|18.01.2019 00:00:00| |||12.08.2011 00:00:00|0606449079869||0.10|0.32|0.57|5.90||1|4|Y||19170106|||10161601|0.077|CPNT||9924133|O|07.12.2018 02:51:26||DE
Netzwerk & Kommunikation|Karten & Adapter|NETGEAR|0712830||WNA3100M-100PES|N300 WIRELESS USB|MINI ADAPATER                    IN|||||||23.33|23.22|0.00||||328|0|0|03.01.2019 01:41:17|04.01.2019 00:00:00| |||02.03.2012 00:00:00|0606449081350||0.05|0.14|0.17|0.14||40|120|Y||19170204|||10160904|0.077|WRLS||11156137|O|10.12.2018 02:25:25||DE
Netzwerk & Kommunikation|Switch|NETGEAR|0712873||GS510TP-100EUS|PROSAFE 10-PORT GIGABIT SMART|SWITCH W/ 2 SFP & POE+           IN|||||||417.92|417.01|0.00||||0|0|0|03.01.2019 01:41:17|03.01.2019 00:00:00| |||04.01.2012 00:00:00|0606449080797||0.08|0.23|0.46|2.85||6|6|Y||19170106|||10161601|0.077|CPNT||11327180|O|17.12.2018 02:21:03||DE
Zubehör|Netzwerkkommunikation|NETGEAR|0714008||WM1AP1YL-10000S|CLOUD WLESS MGMT 1AP 1Y|                                 IN|||||||114.65|113.13|0.00||||0|0|0|03.01.2019 01:41:17|| |||03.07.2015 00:00:00|0606449110524||0.00|0.00|0.00|0.99||0|0|Y||19179290|||10101305|0.077|LICS||28503656|O|23.10.2018 02:17:59||DE
