Artikelnummer 2	Artikelnummer	Bezeichung	Bezeichung 2	Lagerbestand	Gewicht	Preis (inkl. MWSt)	Preis (exkl. MWSt)	WWW-Link	Webtext	Webtext 2	Herstellernummer	Hersteller	MWST Satz	UVP	Garantie (Monate)	Erfassungsdatum	Kategorie 1	Kategorie 2	Kategorie 3	Kategorie	EAN-Code	Lieferdatum	Ausverkaufsartikel	
1257	DS HP BA DDS6 DAT-72 C5709A	HP C5709A: DDS/DAT-72 Cleaning Cartridge		3	0.04	24.9	23.06	http://www8.hp.com/ch/de/products/storage-media/product-detail.html?oid=20759	HP C5709A: DDS-1/2/3/4,DAT-72 Cleaning Cartridge		C5709A	HP	8	24.9	24	15.04.08	IT-Hardware	Storage	Datensicherungslaufwerke Zubehör	Reingungsbänder	4948382338860	sofort	Nein
1263	DS HP BA DLT-IV	HP C5141F: DLT-IV Tape, 40/80GB		2	0.28	71	65.74	http://h10010.www1.hp.com/wwpc/de/de/sm/WF06c/A1-14607-15549-15573-15573-15579-64251.html?jumpid=oc_R1002_DEDEC-001_HP%20DLT-Band%20IV%20-%20Datenkassette&lang=de&cc=de	HP C5141F: DLT-IV Tape, 40/80GB, DLT-Tape für DLT4000/7000/8000, DLT-1 Laufwerke		C5141F	HP	8	71	24	06.07.06	IT-Hardware	Storage	Datensicherungslaufwerke Zubehör	Medien	4901780512942	sofort	Nein
1289	ZF BR PC-302	Transferrolle z.Telefax Brother Fax 910-930	ca. 2x230 Kopien	2	0.54	48	44.44		Transferrolle Brother PC-302, zu Fax 910/920/930, 2x230 Seiten A4		PC302RF	Brother	8	48	24	18.10.06	Telekommunikation	Telefonie	Telefonie Zubehör	Zubehör Faxgeräte	4977766054416	sofort	Nein
1510	KA 230 EQ C13-C14 01.8M	Monitor Verlängerungs-Netzkabel 220 V	Kaltgerätestecker für Netzteilanschluss	253	0.18	12.9	11.94	http://www.equip-info.de/german/index.php?main=0&prod=989&article=112100&suche=112100	Kaltgeräteverlängerungskabel, Stecker-Buchse, C13-C14, 3polig 230V, schwarz, 1.8 Meter		PC 60009-1,8	equip	8	12.9	24	03.10.06	Elektro/Haus/Heim	Elektro Energie	230-Volt-Stromversorgung	230V-Verlängerungskabel	4015867213698	sofort	Nein
1513	KA 230 T13-C13 SW 01.8M	Netzkabel 220V 1.8m	Kaltgerätestecker	19570	0.18	10.2	9.44		Netzkabel 3-polig, 220V, 1.8m, Kaltgerätestecker, schwarz		1513	Diverse	8	10.2	24	11.10.05	Elektro/Haus/Heim	Elektro Energie	230-Volt-Stromversorgung	Netzkabel	7612320102246	sofort	Nein
1517	KA POW EQ Y 5M-5W5W 00.2M	equip Stromversorgungskabel intern	1x 5.25" Stecker, 2x 5.25" Buchse, 0.2m	146	0.03	13.9	12.87	http://www.equip-info.de/equipgerman/index.php?page=search&&series=&kat=&id=883&search=112030	equip Stromversorgungskabel Y-Kabel intern: 1x 5.25" Molex Stecker, 2x 5.25" Molex Buchse, 0.2m		112030	equip	8	13.9	24	19.10.06	IT-Hardware	PC-/Datenkabel	PC-Kabel (intern)	Stromkabel (intern)	4015867210796	sofort	Nein
1534	KA IDE ATA100 55	Kabel Ultra ATA 133	3 Stecker 55cm	96	0.06	20.9	19.35		IDE-Kabel Ultra ATA 100/133, 60cm, 3 Stecker, 80Pin Flachbandkabel (Stecker bei 0,40 und 60cm)	Pfostenverbinder in den Farben blau, schwarz und grau für Datentransfer bis zu 100/133 MByte/Sek	11220095	Diverse	8	20.9	24	19.10.06	IT-Hardware	PC-/Datenkabel	PC-Kabel (intern)	Datenkabel (intern)	4016032079156	sofort	Ja
1840	NWKBX EQ SW C5E F/UTP 02M 26	equip Crossoverkabel: F/UTP, 02m, schwarz	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	64	0.14	14.9	13.8	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=722	equip Crossoverkabel: F/UTP, 02m, schwarz, Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	Pinbelegung: 1-3 / 2-6 / 3-1 / 4-4 / 5-5 / 6-2 / 7-7 / 8-8, Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205911	equip	8	14.9	24	26.06.06	IT-Hardware	Netzwerk	Netzwerkkabel	Crossoverkabel	4015867213728	sofort	Nein
1841	NWKBX EQ SW C5E F/UTP 05M 26	equip Crossoverkabel: F/UTP, 05m, schwarz	Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	34	0.26	17.9	16.57	http://www.equip-info.de/german/index.php?main=10&gruppe=600&pagenum=3&prod=722	equip Crossoverkabel: F/UTP, 05m, schwarz, Cat.5e, AWG26, 1Gbps, 100MHz, Zugentlastung	Pinbelegung: 1-3 / 2-6 / 3-1 / 4-4 / 5-5 / 6-2 / 7-7 / 8-8, Steckerkontakte vergoldet, Angespritzter Knickschutz, Zugentlastung, Flexibel, Mit Längenaufdruck auf dem Stecker, PVC	205914	equip	8	17.9	24	26.06.06	IT-Hardware	Netzwerk	Netzwerkkabel	Crossoverkabel	4015867213742	sofort	Nein
1842	NWKB RJ45 KONV	Wirewin Patchkabel: pro Laufmeter, F/UTP	Cat. 5e, 100Mhz, grau	19	0.08	479	443.52		Wirewin Patchkabel pro Laufmeter: F/UTP, Cat.5e, 1Gbps, 100MHz, grau	Kabel wird in der gewünschten Länge geliefert.	VKBOX KAT5E PATCH	Wirewin	8	479	24	29.06.06	IT-Hardware	Netzwerk	Netzwerkkabel	Patchkabel (Meterware)	7612320108965	sofort	Nein
