Artikelnummer;Bezeichnung;;;;Artikelkategorie;Produktgruppe;EAN Code;Bruttogewicht;Bestand;Hersteller;HerstellerNr;NextDeliveryDate;jET Link;jET DataSheet
;;;;;;;;;;;;;;
24619;"Monitor TFT AOC E2436PA 24"" LED Full-HD, DVI 1920x1080, 5 ms,  250 cd/mý, 60'000:1, DVI, HD";;;;CRT Monitore,TFTMonitore;TFT Monitore;4.03899E+12;9.7;0;AOC;E2426PA;;;
24620;"HDD Seagate Barracuda ST2000DM001 2TB 3.5"" 7200rpm, SATA6Gb/s NCQ, 8.5ms, 64MB, Low Noise";;;;Festplatten;3,5 Zoll SATA HDDs;5.71105E+12;0.54;13;Seagate;ST2000DM001;;;
24621;CPU Intel Core i7-3820 Quad Core 3.6/3.8GHz, BOX 4/8 Cores, 10MB Cache,Sockel LGA 2011,ohne Lüfter;;;;Prozessoren und Zubehör;Intel Prozessoren;7.35858E+11;0.1;0;Intel;BX80619I73820;07.05.2012;;
24622;Mouse Nexus SM-8500B Silent wired mit Kabel USB, silent Button Mouse, Retail Black;;;;Tastaturen,Mäuse,Zubehör;Mäuse;8.71737E+12;0.183;40;Nexus;SM-8500B;;;
24623;Power Supply for Qnap 2 Bay NAS 12Volt / 5A Netzteil für 2 Schubladen NAS System;;;;Notebooks,PCMCIA Karten,...;Notebookzubehör;;0.556;0;QNAP;;;;
24624;Printer Toner Cartridge HP Q6001 Cyan 2.000 Seiten, für Color LaserJet 2600;;;;Drucker und Zubehör;Druckerkabel...;8.2916E+11;1.1;0;Hewlett Packard;Q6001A;;;
24625;CPU Intel Pent. Dual Core E6700 3.2GHz 1066MHzTray FSB 1066, 2MB Cache, socket 775;;;;Prozessoren und Zubehör;Intel Prozessoren;5.03204E+12;0.183;0;Intel;BX80571E6700 TRAY;;;
24626;Graphicscard PNY Quadro 4000 2048MB PCIE Bulk GDDR5, 256Bit, 3840x2400, Open GL+DX11,DV-I,DP,VGA;;;;Grafikkarten;NVidia Chipsatz PCI Express Karten;3.5364E+12;0.79;0;PNY;VCQ4000BLK-1;;;
24627;Printer HP Papierschacht 500Blatt for P2055D ;;;;Drucker und Zubehör;Druckerkabel...;;4.75;0;Hewlett Packard;CE464A;;;
